mlbam,bbref,fangraphs,retro,name
650619,vilorme01,17109,vilom001,Meibrys Viloria
608597,guzmaro01,14388,guzmr001,Ronald Guzmán
823779,,,,Ryan Sprock
688422,,,,Connor Staine
701350,anthoro01,31812,anthr001,Roman Anthony
668853,shentau01,25425,shena001,Austin Shenton
814791,,,,Jared Sundstrom
837183,,,,Christian Rojas
701619,,,,Alfredo Ruiz
677944,ceccosl01,27500,ceccs001,Slade Cecconi
691340,,,,Luis Ortiz
804858,,,,Bryan Rincon
835716,,,,Jack Barker
592130,barneda02,11388,barnd002,Danny Barnes
679295,,,,Scott Ota
835078,,,,Enyel Garcia
808236,,,,Luiyin Alastre
687192,,,,Cade Hunter
687783,,,,Matt Wood
687194,,,,Chad Knight
815825,,,,Seth Hernandez
666121,,,,Tyler Baum
688011,,,,Cam Wynne
806704,,,,Cam Tilly
669081,,,,Jack Dashwood
702516,,,,JP Wheat
836596,,,,Ariel Roque
804989,,,,Gavin Van Kempen
691014,,,,Nate Savino
656001,,,,Moises Gomez
676896,rollech01,23557,rollc001,Chris Roller
689274,,,,Tyler Krabbe
691783,lawlajo01,29976,lawlj001,Jordan Lawlar
620446,urenari01,16411,urenr001,Richard Ureña
673765,,,,Mason Janvrin
676105,criswje01,27608,crisj001,Jeff Criswell
670168,,,,Mike Wilson
828520,,,,Twine Palmer
669697,,,,Andrew Schultz
683581,,,,Jose Berroa
621079,wilesco01,15106,wilec001,Collin Wiles
605170,caratvi01,14968,carav001,Víctor Caratini
702604,,,,Michael Kennedy
686984,,,,Marcus Lee Sang
686949,,,,Matt Corlew
696275,,,,RJ Petit
804241,,,,Zach Levenson
802073,,,,Aneuris Rodriguez
688220,,,,Taylor Lomack
686527,canzodo01,26438,canzd001,Dominic Canzone
701780,,,,Tanner McDougal
813707,,,,Merrick Baldo
685313,,,,Elijah Dunham
687837,,,,Jake Ortega
699130,,,,Jadher Areinamo
815498,,,,Ky McGary
675966,,,,Jesse Franklin
813895,,,,Corey Avant
666783,diazyu01,18905,diazy003,Yusniel Díaz
805517,,,,Jackson Steensma
695243,millema03,31757,millm004,Mason Miller
814816,,,,Johnny Tincher
702671,,,,Alton Davis
833414,,,,Nico Wagner
686759,hopkitj01,25482,hopkt001,TJ Hopkins
815215,,,,Francisco Guevara
693409,prietce01,30163,priec002,César Prieto
824616,,,,KK Clark
702642,,,,Patrick Galle
